tag	del	herbarium	herblocate	category	catabbrev	specid	brahms	accession	barcode	Picture	phenology	collector	prefix	number	suffix	addcoll	type	type_of	day	month	year	dateres	collected	monthname	family	cf	taxstat	species	detstatus	detby	detday	detmonth	detyear	detdate	originstat	originid	continent	region	tdwglv1	tdwglv2	tdwgl3name	tdwg	country	majorarea	minorarea	locprefix	gazetteer	lat	ns	long	ew	llunit	llres	llorig	latlong	latdec	longdec	degsq	alt	altmax	altres	altrange	vernacular	language	genus	sp1	author1	rank1	sp2	author2	rank2	sp3	author3	unique	hsaccode	gazcode	hbcode	hstype	sptype	spnumber	spcodetype	cscode	altcs	addcscode	detbycode	conumber	ccid	entrydate	who	notonline
 	 	BENIN		Herbarium sheet	HS	249438	127517					"Akoègninou, A."		2051		"Agbani, P. & Yédomonhan, H."			24	1	1999		24-Jan-99	January	Solanaceae		acc	Solanum lycopersicum L.		"Hermans, M.J.W."	13	11	2001	13-Nov-01			Africa	West Tropical Africa	0	0			Benin	Collines	Savalou			7.56	N	2	E		5		"7°56' N,  2°00' E"	7.933333	2	NE72	0	0					Solanum	lycopersicum	L.							0	0	1981	102	0	2	5328	0	0	1	0	5338	21	1	22/08/2001		 
*	 	AMD		Herbarium sheet	HS	2076098	1268859		AMS0009911	7		"Mousset, J.P."		114					0	0	1910		1910		Solanaceae		syn	Lycopersicon esculentum Mill.			0	0	0				Asia	Malesia	0	0			Indonesia	Java	Jawa Timur		Nongkodjadjar	-7.8965	S	112.8213	E	DD			Alt: 1200m	-7.8965	112.8213	SE-8112	1200	0		1200			Lycopersicon	esculentum	Mill.							0	0	41258	236	0	0	37050	0	0	1	0	0	97	1	24/05/2012	Huber	 
 	 	BENIN		Herbarium sheet	HS	308332	163463					"Houngnon, P."		4790					15	12	1988		15-Dec-88	December	Solanaceae		syn	Lycopersicon esculentum Mill.		"Houngnon, P."	15	12	1988	15-Dec-88			Africa	West Tropical Africa	0	0			Benin	Littoral	Cotonou		Cotonou	6.21	N	2.26	E	DM	4	GOOGL	"c. 6°21' N,  2°26' E Alt: 3 - 10m"	6.35	2.433333	NE62	3	10		03-Oct			Lycopersicon	esculentum	Mill.							0	0	1554	102	0	0	37050	0	0	1	0	442	21	1	24/03/2003		 
 	 	BENIN		Herbarium sheet	HS	312153	165425					"Essou, J.-.P."		3370					26	9	2002		26-Sep-02	September	Solanaceae		acc	Solanum lycopersicum L.			0	0	0				Africa	West Tropical Africa	0	0			Benin	Ouémé	Porto-Novo		Dodji	6.3	N	2.4	E	DM	4	GOOGL	"c. 6°30' N,  2°40' E Alt: 20m"	6.5	2.666667	NE62	20	0		20			Solanum	lycopersicum	L.							0	0	2852	102	0	2	5328	0	0	1	0	0	21	1	13/06/2003		 
*	 	AMD		Herbarium sheet	HS	2076099	1268860		AMS0009912	8		"Leendertz, R."		s.n.					20	1	1900		20-Jan-00	January	Solanaceae		syn	Lycopersicon esculentum Mill.			0	0	0				Africa		0	0			Africa					0	 	0	 					0	0		0	0					Lycopersicon	esculentum	Mill.							0	0	7444	236	0	0	37050	0	0	1	0	0	298	1	24/05/2012	Huber	 
*	 	L		Herbarium sheet	HS	993651	648750	908244963	L  0142483	13		Jacquin		s.n.				?	0	0	0				Solanaceae		syn	Lycopersicon esculentum Mill.			0	0	0						0	0			Unknown					6.35	S	10.476	E	DMS	0		"6°35' S,  10°48' E"	-6.583333	10.8	SE610	0	0					Lycopersicon	esculentum	Mill.							0	0	76	8339	0	31566	37050	0	0	1	0	0	241	1	22/11/2001		 
*	 	L		Herbarium sheet	HS	993652	648751	908244948	L  0142484	14		"Royen, D. van"		s.n.					0	0	0				Solanaceae		syn	Lycopersicon esculentum Mill.			0	0	0						0	0			Unknown					6.35	S	10.476	E	DMS	0		"6°35' S,  10°48' E"	-6.583333	10.8	SE610	0	0					Lycopersicon	esculentum	Mill.							0	0	76	8339	0	0	37050	0	0	1	0	0	241	1	22/11/2001		 
 	 	BENIN		Herbarium sheet	HS	366829	197678					"Essou, J.-.P."		2762					22	8	2001		22-Aug-01	August	Solanaceae		syn	Lycopersicon esculentum Mill.		"Maesen, L.J.G. van der"	0	11	2002	Nov-02			Africa	West Tropical Africa	0	0			Benin	Atacora	Kouandé		Kouandé	10.2	N	1.41	E				"10°20' N,  1°41' E Alt: 453m"	10.333333	1.683333	NE101	453	0		453			Lycopersicon	esculentum	Mill.							0	0	2964	102	0	2	37050	0	0	1	0	11	21	1	17/09/2004	Folke	 
*	 	L		Herbarium sheet	HS	993653	648752	908244944	L  0142485	15		Royen van		s.n.					0	0	0				Solanaceae		syn	Lycopersicon esculentum Mill.			0	0	0						0	0			Unknown					6.35	S	10.476	E	DMS	0		"6°35' S,  10°48' E"	-6.583333	10.8	SE610	0	0					Lycopersicon	esculentum	Mill.							0	0	76	8339	0	0	37050	0	0	1	0	0	241	1	22/11/2001		 
 	 	WAG		Herbarium sheet	HS	368105	198267					"Jansen, J.W.A."		1414					30	1	1969		30-Jan-69	January	Solanaceae		acc	Solanum lycopersicum L.		"Stevels, J.M.C."	22	5	1990	22-May-90			Africa	West Tropical Africa	0	0			Liberia	Nimba				7.07	N	9.04	W		4		"c. 7°07' N,  9°04' W"	7.116667	-9.066667	NW79	0	0					Solanum	lycopersicum	L.							0	0	294	594	0	0	5328	0	0	1	0	81319	119	1	28/09/2004	JanW	 
