tag	del	herbarium	herblocate	category	catabbrev	specid	brahms	accession	barcode	Picture	phenology	collector	prefix	number	suffix	addcoll	type	type_of	day	month	year	dateres	collected	monthname	family	cf	taxstat	species	detstatus	detby	detday	detmonth	detyear	detdate	originstat	originid	continent	region	tdwglv1	tdwglv2	tdwgl3name	tdwg	country	majorarea	minorarea	locprefix	gazetteer	lat	ns	long	ew	llunit	llres	llorig	latlong	latdec	longdec	degsq	alt	altmax	altres	altrange	vernacular	language	genus	sp1	author1	rank1	sp2	author2	rank2	sp3	author3	unique	hsaccode	gazcode	hbcode	hstype	sptype	spnumber	spcodetype	cscode	altcs	addcscode	detbycode	conumber	ccid	entrydate	who	notonline
 	 	MO		Herbarium sheet	HS	368106	198267					"Jansen, J.W.A."		1414					30	1	1969		30-Jan-69	January	Solanaceae		acc	Solanum lycopersicum L.		"Stevels, J.M.C."	22	5	1990	22-May-90			Africa	West Tropical Africa	0	0			Liberia	Nimba				7.07	N	9.04	W		4		"c. 7°07' N,  9°04' W"	7.116667	-9.066667	NW79	0	0					Solanum	lycopersicum	L.							0	0	294	1084	0	0	5328	0	0	1	0	81319	119	1	28/09/2004	JanW	 
 	 	BR		Herbarium sheet	HS	368107	198267					"Jansen, J.W.A."		1414					30	1	1969		30-Jan-69	January	Solanaceae		acc	Solanum lycopersicum L.		"Stevels, J.M.C."	22	5	1990	22-May-90			Africa	West Tropical Africa	0	0			Liberia	Nimba				7.07	N	9.04	W		4		"c. 7°07' N,  9°04' W"	7.116667	-9.066667	NW79	0	0					Solanum	lycopersicum	L.							0	0	294	187	0	0	5328	0	0	1	0	81319	119	1	28/09/2004	JanW	 
 	 	P		Herbarium sheet	HS	368108	198267					"Jansen, J.W.A."		1414					30	1	1969		30-Jan-69	January	Solanaceae		acc	Solanum lycopersicum L.		"Stevels, J.M.C."	22	5	1990	22-May-90			Africa	West Tropical Africa	0	0			Liberia	Nimba				7.07	N	9.04	W		4		"c. 7°07' N,  9°04' W"	7.116667	-9.066667	NW79	0	0					Solanum	lycopersicum	L.							0	0	294	1734	0	0	5328	0	0	1	0	81319	119	1	28/09/2004	JanW	 
*	 	L		Herbarium sheet	HS	993654	648753	908244984	L  0142486	16		Unknown		s.n.					0	0	0				Solanaceae		syn	Lycopersicon esculentum Mill.			0	0	0						0	0			Unknown					6.35	S	10.476	E	DMS	0		"6°35' S,  10°48' E"	-6.583333	10.8	SE610	0	0					Lycopersicon	esculentum	Mill.							0	0	76	8339	0	0	37050	0	0	1	0	0	241	1	22/11/2001		 
 	 	BR		Herbarium sheet	HS	372020	200020					"Meer, P.P.C. van"		90					25	7	1965		25-Jul-65	July	Solanaceae		acc	Solanum lycopersicum L.		"Hoeven, E.P. van der"	0	0	1971	1971			Africa	West Tropical Africa	0	0			Liberia	Montserrado				6.47	N	10.49	W		3		"c. 6°47' N,  10°49' W"	6.783333	-10.816667	NW610	0	0					Solanum	lycopersicum	L.							0	0	292	187	0	0	5328	0	0	1	0	81129	119	1	02/11/2004	JanW	 
*	 	WAG		Herbarium sheet	HS	439622	226665					"Westphal, E."		9911		"Westphal-Stevels, J.M.C."			14	3	1978		14-Mar-78	March	Solanaceae		syn	Lycopersicon esculentum Mill.		"Westphal-Stevels, J.M.C."	0	0	1989	1989			Africa	Central Tropical Africa	0	0			Cameroon	Centre				3.47	N	10.58	E			FS	"3°47' N,  10°58' E"	3.783333	10.966667	NE310	0	0					Lycopersicon	esculentum	Mill.							0	0	1114	594	0	0	37050	0	0	1	0	5679	46	1	28/09/2005	JanW	 
*	 	WAG		Spirit collection	SP	1509929	226665					"Westphal, E."		9911		"Westphal-Stevels, J.M.C."			14	3	1978		14-Mar-78	March	Solanaceae		syn	Lycopersicon esculentum Mill.		"Westphal-Stevels, J.M.C."	0	0	1989	1989			Africa	Central Tropical Africa	0	0			Cameroon	Centre				3.47	N	10.58	E			FS	"3°47' N,  10°58' E"	3.783333	10.966667	NE310	0	0					Lycopersicon	esculentum	Mill.							0	0	1114	594	0	0	37050	0	0	1	0	5679	46	5	28/09/2005	JanW	 
*	 	WAG		Herbarium sheet	HS	439623	226666					"Westphal, E."		9912		"Westphal-Stevels, J.M.C."			14	3	1978		14-Mar-78	March	Solanaceae		syn	Lycopersicon esculentum Mill.		"Westphal-Stevels, J.M.C."	0	0	1989	1989			Africa	Central Tropical Africa	0	0			Cameroon	Centre				3.47	N	10.58	E			FS	"3°47' N,  10°58' E"	3.783333	10.966667	NE310	0	0					Lycopersicon	esculentum	Mill.							0	0	1114	594	0	0	37050	0	0	1	0	5679	46	1	28/09/2005	JanW	 
*	 	WAG		Spirit collection	SP	1509930	226666					"Westphal, E."		9912		"Westphal-Stevels, J.M.C."			14	3	1978		14-Mar-78	March	Solanaceae		syn	Lycopersicon esculentum Mill.		"Westphal-Stevels, J.M.C."	0	0	1989	1989			Africa	Central Tropical Africa	0	0			Cameroon	Centre				3.47	N	10.58	E			FS	"3°47' N,  10°58' E"	3.783333	10.966667	NE310	0	0					Lycopersicon	esculentum	Mill.							0	0	1114	594	0	0	37050	0	0	1	0	5679	46	5	28/09/2005	JanW	 
*	 	WAG		Herbarium sheet	HS	439624	226667					"Westphal, E."		9913		"Westphal-Stevels, J.M.C."			14	3	1978		14-Mar-78	March	Solanaceae		syn	Lycopersicon esculentum Mill.		"Westphal-Stevels, J.M.C."	0	0	1989	1989			Africa	Central Tropical Africa	0	0			Cameroon	Centre				3.47	N	10.58	E			FS	"3°47' N,  10°58' E"	3.783333	10.966667	NE310	0	0					Lycopersicon	esculentum	Mill.							0	0	1114	594	0	0	37050	0	0	1	0	5679	46	1	28/09/2005	JanW	 
*	 	WAG		Spirit collection	SP	1509931	226667					"Westphal, E."		9913		"Westphal-Stevels, J.M.C."			14	3	1978		14-Mar-78	March	Solanaceae		syn	Lycopersicon esculentum Mill.		"Westphal-Stevels, J.M.C."	0	0	1989	1989			Africa	Central Tropical Africa	0	0			Cameroon	Centre				3.47	N	10.58	E			FS	"3°47' N,  10°58' E"	3.783333	10.966667	NE310	0	0					Lycopersicon	esculentum	Mill.							0	0	1114	594	0	0	37050	0	0	1	0	5679	46	5	28/09/2005	JanW	 
*	 	WAG		Herbarium sheet	HS	439629	226672					"Westphal, E."		9916	A	"Westphal-Stevels, J.M.C."			16	3	1978		16-Mar-78	March	Solanaceae		syn	Lycopersicon esculentum Mill.		"Westphal-Stevels, J.M.C."	0	0	1989	1989			Africa	Central Tropical Africa	0	0			Cameroon	Centre				3.47	N	10.58	E			FS	"3°47' N,  10°58' E"	3.783333	10.966667	NE310	0	0					Lycopersicon	esculentum	Mill.							0	0	1114	594	0	0	37050	0	0	1	0	5679	46	1	28/09/2005	JanW	 
 	 	L		Herbarium sheet	HS	993655	648754	908244986	L  0142487	#N/A		Royen van		s.n.					0	0	0				Solanaceae		syn	Lycopersicon peruvianum (L.) Mill.			0	0	0						0	0			Unknown					0	 	0	 					0	0		0	0					Lycopersicon	peruvianum	(L.) Mill.							0	0	76	8339	0	0	211832	0	0	1	0	0	241	1	22/11/2001		 
*	 	L		Herbarium sheet	HS	996799	651876		L  0247486	17		"Lohmeyer, T.R."		s.n.					0	7	1896		July 1896	July	Solanaceae		syn	Lycopersicon esculentum Mill.			0	0	0				Europe	Middle Europe	0	0			Germany	Sachsen			Derenburg	0	 	0	 					0	0		0	0					Lycopersicon	esculentum	Mill.							0	0	56723	8339	0	0	37050	0	0	1	0	0	57	1	10/12/2001		 
*	 	L		Herbarium sheet	HS	996800	651877		L  0247487	18		"Bodmann, H."		s.n.					26	7	1885		26 July 1885	July	Solanaceae		acc	Solanum lycopersicum L.			0	0	0						0	0			Unknown					6.35	S	10.476	E	DMS	0		"6°35' S,  10°48' E"	-6.583333	10.8	SE610	0	0					Solanum	lycopersicum	L.							0	0	76	8339	0	0	5328	0	0	1	0	0	241	1	10/12/2001		 
 	 	L		Herbarium sheet	HS	996801	651878		L  0247488	19		"Wilde, W.J.J.O. de"		21289		"Wilde-Duyfjes, B.E.E. de"			7	8	1991		07-Aug-91	August	Solanaceae		syn	Lycopersicon esculentum Mill.			0	0	0				Asia	Malesia	0	0			Indonesia	Sumatra	Aceh		Leuser Nature Reserve	3.55	N	98	E				"3°55' N,  98°00' E Alt: 50 - 100m"	3.916667	98	NE398	50	100		50 - 100			Lycopersicon	esculentum	Mill.							0	0	36232	8339	0	0	37050	0	0	1	0	0	97	1	10/12/2001		 
*	 	L		Herbarium sheet	HS	996802	651879		L  0247489	20		"Hohenacker, R.F."		82					0	0	1800		1800		Solanaceae		syn	Lycopersicon esculentum Mill.			0	0	0				Europe	Middle Europe	0	0			Germany	Baden-Württemberg			Württemberg	0	 	0	 					0	0		0	0					Lycopersicon	esculentum	Mill.							0	0	47736	8339	0	0	37050	0	0	1	0	0	57	1	10/12/2001		 
*	 	L		Herbarium sheet	HS	996803	651880		L  0247490	21		"Muller, F.M."		10174					26	5	1973		26-May-73	May	Solanaceae		syn	Lycopersicon esculentum Mill.			0	0	0				Europe	Middle Europe	0	0			Belgium	Oost-Vlaanderen			Ronsele	0	 	0	 					0	0		0	0					Lycopersicon	esculentum	Mill.							0	0	56724	8339	0	0	37050	0	0	1	0	0	20	1	10/12/2001		 
*	 	P		Herbarium sheet	HS	439920	226836					"Westphal, E."		10086		"Westphal-Stevels, J.M.C."			5	6	1978		05-Jun-78	June	Solanaceae		syn	Lycopersicon esculentum Mill.		"Westphal-Stevels, J.M.C."	0	0	1989	1989			Africa	Central Tropical Africa	0	0			Cameroon	Centre				3.47	N	10.58	E			FS	"3°47' N,  10°58' E"	3.783333	10.966667	NE310	0	0					Lycopersicon	esculentum	Mill.							0	0	1114	1734	0	0	37050	0	0	1	0	5679	46	1	28/09/2005	JanW	 
*	 	L		Herbarium sheet	HS	1098808	734819		L  0420407	22		"Pierot, J."		927					0	0	0				Solanaceae		syn	Lycopersicon esculentum Mill.			0	0	0				Asia	Eastern Asia	0	0			Japan	Kyushu		Mount	Kawara Jama	0	 	0	 					0	0		0	0					Lycopersicon	esculentum	Mill.							0	0	64248	8339	0	0	37050	0	0	1	0	0	108	1	27/08/2003		 
*	 	L		Herbarium sheet	HS	1098809	734820		L  0420408	23		"Bürger, H."		s.n.					0	0	0				Solanaceae		syn	Lycopersicon esculentum Mill.			0	0	0				Asia	Eastern Asia	0	0			Japan					0	 	0	 					0	0		0	0					Lycopersicon	esculentum	Mill.							0	0	902	8339	0	0	37050	0	0	1	0	0	108	1	27/08/2003		 
*	 	NA		Herbarium sheet	HS	439922	226837					"Westphal, E."		10087		"Westphal-Stevels, J.M.C."			5	6	1978		05-Jun-78	June	Solanaceae		syn	Lycopersicon esculentum Mill.		"Westphal-Stevels, J.M.C."	0	0	1989	1989			Africa	Central Tropical Africa	0	0			Cameroon	Centre				3.47	N	10.58	E			FS	"3°47' N,  10°58' E"	3.783333	10.966667	NE310	0	0					Lycopersicon	esculentum	Mill.							0	0	1114	1598	0	0	37050	0	0	1	0	5679	46	1	28/09/2005	JanW	 
*	 	L		Herbarium sheet	HS	1098810	734821		L  0420409	24		"Bürger, H."		s.n.					0	0	0				Solanaceae		syn	Lycopersicon esculentum Mill.			0	0	0				Asia	Eastern Asia	0	0			Japan					0	 	0	 					0	0		0	0					Lycopersicon	esculentum	Mill.							0	0	902	8339	0	0	37050	0	0	1	0	0	108	1	27/08/2003		 
*	 	L		Herbarium sheet	HS	1098811	734822		L  0420410	25		"Bürger, H."		s.n.					0	0	0				Solanaceae		syn	Lycopersicon esculentum Mill.			0	0	0				Asia	Eastern Asia	0	0			Japan					0	 	0	 					0	0		0	0					Lycopersicon	esculentum	Mill.							0	0	902	8339	0	0	37050	0	0	1	0	0	108	1	27/08/2003		 
*	 	L		Herbarium sheet	HS	1098812	734823		L  0420411	26		"Siebold, P.F. von"		s.n.					0	0	0				Solanaceae		syn	Lycopersicon esculentum Mill.			0	0	0				Asia	Eastern Asia	0	0			Japan					0	 	0	 					0	0		0	0					Lycopersicon	esculentum	Mill.							0	0	902	8339	0	0	37050	0	0	1	0	0	108	1	27/08/2003		 
*	 	L		Herbarium sheet	HS	1098813	734824		L  0420412	27		"Siebold, P.F. von"		s.n.					0	0	0				Solanaceae		syn	Lycopersicon esculentum Mill.			0	0	0				Asia	Eastern Asia	0	0			Japan					0	 	0	 					0	0		0	0					Lycopersicon	esculentum	Mill.							0	0	902	8339	0	0	37050	0	0	1	0	0	108	1	27/08/2003		 
*	 	BR		Herbarium sheet	HS	439962	226860					"Westphal, E."		10113		"Westphal-Stevels, J.M.C."			5	7	1978		05-Jul-78	July	Solanaceae		syn	Lycopersicon esculentum Mill.		"Westphal-Stevels, J.M.C."	0	0	1989	1989			Africa	Central Tropical Africa	0	0			Cameroon	Centre				3.47	N	10.58	E			FS	"3°47' N,  10°58' E"	3.783333	10.966667	NE310	0	0					Lycopersicon	esculentum	Mill.							0	0	1114	187	0	0	37050	0	0	1	0	5679	46	1	28/09/2005	JanW	 
*	 	WAG		Spirit collection	SP	1509957	226860					"Westphal, E."		10113		"Westphal-Stevels, J.M.C."			5	7	1978		05-Jul-78	July	Solanaceae		syn	Lycopersicon esculentum Mill.		"Westphal-Stevels, J.M.C."	0	0	1989	1989			Africa	Central Tropical Africa	0	0			Cameroon	Centre				3.47	N	10.58	E			FS	"3°47' N,  10°58' E"	3.783333	10.966667	NE310	0	0					Lycopersicon	esculentum	Mill.							0	0	1114	594	0	0	37050	0	0	1	0	5679	46	5	28/09/2005	JanW	 
*	 	L		Herbarium sheet	HS	1098814	734825		L  0420413	28		"Siebold, P.F. von"		s.n.					0	0	0				Solanaceae		syn	Lycopersicon esculentum Mill.			0	0	0				Asia	Eastern Asia	0	0			Japan					0	 	0	 					0	0		0	0					Lycopersicon	esculentum	Mill.							0	0	902	8339	0	0	37050	0	0	1	0	0	108	1	27/08/2003		 
*	 	L		Herbarium sheet	HS	1098815	734826		L  0420414	29		"Keiske, I."		s.n.					0	0	0				Solanaceae		syn	Lycopersicon esculentum Mill.			0	0	0				Asia	Eastern Asia	0	0			Japan					0	 	0	 					0	0		0	0					Lycopersicon	esculentum	Mill.							0	0	902	8339	0	0	37050	0	0	1	0	0	108	1	27/08/2003		 
*	 	L		Herbarium sheet	HS	1098816	734827		L  0420415	30		"Pierot, J."		274					0	0	0				Solanaceae		syn	Lycopersicon esculentum Mill.			0	0	0				Asia	Eastern Asia	0	0			Japan	Honshu			Miwara	0	 	0	 					0	0		0	0					Lycopersicon	esculentum	Mill.							0	0	64368	8339	0	0	37050	0	0	1	0	0	108	1	27/08/2003		 
*	 	BR		Herbarium sheet	HS	439964	226861					"Westphal, E."		10114		"Westphal-Stevels, J.M.C."			5	7	1978		05-Jul-78	July	Solanaceae		syn	Lycopersicon esculentum Mill.		"Westphal-Stevels, J.M.C."	0	0	1989	1989			Africa	Central Tropical Africa	0	0			Cameroon	Centre				3.47	N	10.58	E			FS	"3°47' N,  10°58' E"	3.783333	10.966667	NE310	0	0					Lycopersicon	esculentum	Mill.							0	0	1114	187	0	0	37050	0	0	1	0	5679	46	1	28/09/2005	JanW	 
*	 	NA		Herbarium sheet	HS	439965	226861					"Westphal, E."		10114		"Westphal-Stevels, J.M.C."			5	7	1978		05-Jul-78	July	Solanaceae		syn	Lycopersicon esculentum Mill.		"Westphal-Stevels, J.M.C."	0	0	1989	1989			Africa	Central Tropical Africa	0	0			Cameroon	Centre				3.47	N	10.58	E			FS	"3°47' N,  10°58' E"	3.783333	10.966667	NE310	0	0					Lycopersicon	esculentum	Mill.							0	0	1114	1598	0	0	37050	0	0	1	0	5679	46	1	28/09/2005	JanW	 
*	 	WAG		Spirit collection	SP	1509958	226861					"Westphal, E."		10114		"Westphal-Stevels, J.M.C."			5	7	1978		05-Jul-78	July	Solanaceae		syn	Lycopersicon esculentum Mill.		"Westphal-Stevels, J.M.C."	0	0	1989	1989			Africa	Central Tropical Africa	0	0			Cameroon	Centre				3.47	N	10.58	E			FS	"3°47' N,  10°58' E"	3.783333	10.966667	NE310	0	0					Lycopersicon	esculentum	Mill.							0	0	1114	594	0	0	37050	0	0	1	0	5679	46	5	28/09/2005	JanW	 
*	 	L		Spirit collection	SP	1811487	1162583	1992	L  0740990	#N/A		"Siebold, P.F. von"		s.n.					0	0	0				Solanaceae		syn	Lycopersicon esculentum Mill.			0	0	0				Asia	Eastern Asia	0	0			Japan					0	 	0	 					0	0		0	0					Lycopersicon	esculentum	Mill.							0	0	902	8339	0	0	37050	0	0	1	0	0	108	5	08/09/2010	LucWi	 
*	 	L		Spirit collection	SP	1810705	1161801	915	L  0741811	#N/A		"Blume, C.L."		s.n.					0	0	0				Solanaceae		syn	Lycopersicon esculentum Mill.			0	0	0						0	0			Unknown					6.35	S	10.476	E	DMS	0		"6°35' S,  10°48' E"	-6.583333	10.8	SE610	0	0					Lycopersicon	esculentum	Mill.							0	0	76	8339	0	0	37050	0	0	1	0	0	241	5	08/09/2010	LucWi	 
*	 	L		Spirit collection	SP	1836884	1173954	12080	L  0799275	#N/A		Unknown		s.n.					0	0	0				Solanaceae		acc	Solanum lycopersicum L.			0	0	0				Europe	Middle Europe	0	0			Netherlands	Zuid-Holland			Delft	0	 	0	 					0	0		0	0					Solanum	lycopersicum	L.							0	0	32634	8339	0	0	5328	0	0	1	0	0	157	5	01/11/2010	LucWi	 
*	 	WAG		Spirit collection	SP	1509959	226862					"Westphal, E."		10115		"Westphal-Stevels, J.M.C."			5	7	1978		05-Jul-78	July	Solanaceae		syn	Lycopersicon esculentum Mill.		"Westphal-Stevels, J.M.C."	0	0	1989	1989			Africa	Central Tropical Africa	0	0			Cameroon	Centre				3.47	N	10.58	E			FS	"3°47' N,  10°58' E"	3.783333	10.966667	NE310	0	0					Lycopersicon	esculentum	Mill.							0	0	1114	594	0	0	37050	0	0	1	0	5679	46	5	28/09/2005	JanW	 
*	 	L		Herbarium sheet	HS	2076100	1268861		L  0935549	31		Atasrip		56					0	0	0				Solanaceae		syn	Lycopersicon esculentum Mill.			0	0	1906	1906			Asia	Malesia	0	0			Indonesia	New Guinea				0	 	0	 					0	0		0	0					Lycopersicon	esculentum	Mill.							0	0	3705	8339	0	0	37050	0	0	1	0	0	97	1	24/05/2012	Huber	 
 	 	L		Herbarium sheet	HS	2076101	1268862		L  0935550	32		"Buderus, J."	NGF	23911					26	5	1965		26-May-65	May	Solanaceae		syn	Lycopersicon esculentum Mill.			0	0	0				Asia	Malesia	0	0			Papua New Guinea	New Guinea	Eastern Highlands		Marafunga	6.4	S	145.25	E				"6°40' S,  145°25' E Alt: 2740m"	-6.666667	145.416667	SE6145	2740	0		2740			Lycopersicon	esculentum	Mill.							0	0	21305	8339	0	0	37050	0	0	1	0	0	171	1	24/05/2012	Huber	 
*	 	P		Herbarium sheet	HS	439968	226863					"Westphal, E."		10116		"Westphal-Stevels, J.M.C."			5	7	1978		05-Jul-78	July	Solanaceae		syn	Lycopersicon esculentum Mill.		"Westphal-Stevels, J.M.C."	0	0	1989	1989			Africa	Central Tropical Africa	0	0			Cameroon	Centre				3.47	N	10.58	E			FS	"3°47' N,  10°58' E"	3.783333	10.966667	NE310	0	0					Lycopersicon	esculentum	Mill.							0	0	1114	1734	0	0	37050	0	0	1	0	5679	46	1	28/09/2005	JanW	 
*	 	WAG		Spirit collection	SP	1509960	226863					"Westphal, E."		10116		"Westphal-Stevels, J.M.C."			5	7	1978		05-Jul-78	July	Solanaceae		syn	Lycopersicon esculentum Mill.		"Westphal-Stevels, J.M.C."	0	0	1989	1989			Africa	Central Tropical Africa	0	0			Cameroon	Centre				3.47	N	10.58	E			FS	"3°47' N,  10°58' E"	3.783333	10.966667	NE310	0	0					Lycopersicon	esculentum	Mill.							0	0	1114	594	0	0	37050	0	0	1	0	5679	46	5	28/09/2005	JanW	 
*	 	L		Herbarium sheet	HS	2075943	1268712		L  0938001	37		Unknown		s.n.					0	0	0				Solanaceae		syn	Lycopersicon esculentum Mill.			0	0	0						0	0			Unknown					6.35	S	10.476	E	DMS	0		"6°35' S,  10°48' E"	-6.583333	10.8	SE610	0	0					Lycopersicon	esculentum	Mill.							0	0	76	8339	0	0	37050	0	0	1	0	0	241	1	24/05/2012	Huber	 
*	 	WAG		Carpologica	CA	453728	230215					"Westphal, E."		163		"Westphal-Stevels, J.M.C."			15	6	1967		15-Jun-67	June	Solanaceae		acc	Solanum lycopersicum L.		"Westphal, E."	0	0	1973	1973			Africa	Northeast Tropical Africa	0	0			Ethiopia	Harerge				0	 	0	 				Alt: 2000m	0	0		2000	0		2000	Timatim		Solanum	lycopersicum	L.							0	0	920	594	0	0	5328	0	0	1	0	212	69	6	07/10/2005	JanW	 
*	 	ACD		Carpologica	CA	453729	230215					"Westphal, E."		163		"Westphal-Stevels, J.M.C."			15	6	1967		15-Jun-67	June	Solanaceae		acc	Solanum lycopersicum L.		"Westphal, E."	0	0	1973	1973			Africa	Northeast Tropical Africa	0	0			Ethiopia	Harerge				0	 	0	 				Alt: 2000m	0	0		2000	0		2000	Timatim		Solanum	lycopersicum	L.							0	0	920	977	0	0	5328	0	0	1	0	212	69	6	07/10/2005	JanW	 
*	 	L		Herbarium sheet	HS	2075944	1268713		L  0938002	38		Unknown		s.n.					0	0	0				Solanaceae		syn	Lycopersicon esculentum Mill.			0	0	0						0	0			Unknown					6.35	S	10.476	E	DMS	0		"6°35' S,  10°48' E"	-6.583333	10.8	SE610	0	0					Lycopersicon	esculentum	Mill.							0	0	76	8339	0	0	37050	0	0	1	0	0	241	1	24/05/2012	Huber	 
 	 	ACD		Herbarium sheet	HS	455544	230726					"Westphal, E."		2889		"Westphal-Stevels, J.M.C."			1	12	1967		01-Dec-67	December	Solanaceae		acc	Solanum lycopersicum L.		"Amshoff, G.J.H."	0	0	1972	1972			Africa	Northeast Tropical Africa	0	0			Ethiopia	Sidamo				7.01	N	37.54	E	DM	4	GOOGL	"c. 7°01' N,  37°54' E Alt: 1850m"	7.016667	37.9	NE737	1850	0		1850			Solanum	lycopersicum	L.							0	0	71	977	0	0	5328	0	0	1	0	2024	69	1	07/10/2005	JanW	 
